LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ISR,STINT,TOT,PC_PA,M,1992-01,14.68286,
ISR,STINT,TOT,PC_PA,M,1992-02,12.9115,
ISR,STINT,TOT,PC_PA,M,1992-03,12.25773,
ISR,STINT,TOT,PC_PA,M,1992-04,12.26714,
ISR,STINT,TOT,PC_PA,M,1992-05,12.62895,
ISR,STINT,TOT,PC_PA,M,1992-06,11.9835,
ISR,STINT,TOT,PC_PA,M,1992-07,11.26227,
ISR,STINT,TOT,PC_PA,M,1992-08,11.03381,
ISR,STINT,TOT,PC_PA,M,1992-09,10.87842,
ISR,STINT,TOT,PC_PA,M,1992-10,10.94533,
ISR,STINT,TOT,PC_PA,M,1992-11,10.70182,
ISR,STINT,TOT,PC_PA,M,1992-12,10.889569999999999,
ISR,STINT,TOT,PC_PA,M,1993-01,11.547139999999999,
ISR,STINT,TOT,PC_PA,M,1993-02,12.3255,
ISR,STINT,TOT,PC_PA,M,1993-03,11.845,
ISR,STINT,TOT,PC_PA,M,1993-04,11.92533,
ISR,STINT,TOT,PC_PA,M,1993-05,12.07952,
ISR,STINT,TOT,PC_PA,M,1993-06,12.31136,
ISR,STINT,TOT,PC_PA,M,1993-07,11.117,
ISR,STINT,TOT,PC_PA,M,1993-08,9.999564999999999,
ISR,STINT,TOT,PC_PA,M,1993-09,10.22889,
ISR,STINT,TOT,PC_PA,M,1993-10,9.627895,
ISR,STINT,TOT,PC_PA,M,1993-11,10.003639999999999,
ISR,STINT,TOT,PC_PA,M,1993-12,10.09864,
ISR,STINT,TOT,PC_PA,M,1994-01,10.369539999999999,
ISR,STINT,TOT,PC_PA,M,1994-02,10.4085,
ISR,STINT,TOT,PC_PA,M,1994-03,10.36,
ISR,STINT,TOT,PC_PA,M,1994-04,10.42556,
ISR,STINT,TOT,PC_PA,M,1994-05,10.864289999999999,
ISR,STINT,TOT,PC_PA,M,1994-06,11.57955,
ISR,STINT,TOT,PC_PA,M,1994-07,12.085,
ISR,STINT,TOT,PC_PA,M,1994-08,13.173810000000001,
ISR,STINT,TOT,PC_PA,M,1994-09,14.5725,
ISR,STINT,TOT,PC_PA,M,1994-10,15.867270000000001,
ISR,STINT,TOT,PC_PA,M,1994-11,16.38727,
ISR,STINT,TOT,PC_PA,M,1994-12,17.5481,
ISR,STINT,TOT,PC_PA,M,1995-01,16.62826,
ISR,STINT,TOT,PC_PA,M,1995-02,16.417,
ISR,STINT,TOT,PC_PA,M,1995-03,15.86714,
ISR,STINT,TOT,PC_PA,M,1995-04,14.499,
ISR,STINT,TOT,PC_PA,M,1995-05,14.03105,
ISR,STINT,TOT,PC_PA,M,1995-06,13.748,
ISR,STINT,TOT,PC_PA,M,1995-07,13.68136,
ISR,STINT,TOT,PC_PA,M,1995-08,13.903179999999999,
ISR,STINT,TOT,PC_PA,M,1995-09,14.07059,
ISR,STINT,TOT,PC_PA,M,1995-10,14.67177,
ISR,STINT,TOT,PC_PA,M,1995-11,14.488179999999998,
ISR,STINT,TOT,PC_PA,M,1995-12,14.443810000000001,
ISR,STINT,TOT,PC_PA,M,1996-01,14.14044,
ISR,STINT,TOT,PC_PA,M,1996-02,14.60905,
ISR,STINT,TOT,PC_PA,M,1996-03,14.882,
ISR,STINT,TOT,PC_PA,M,1996-04,15.42813,
ISR,STINT,TOT,PC_PA,M,1996-05,15.8785,
ISR,STINT,TOT,PC_PA,M,1996-06,17.01952,
ISR,STINT,TOT,PC_PA,M,1996-07,17.399520000000003,
ISR,STINT,TOT,PC_PA,M,1996-08,16.34429,
ISR,STINT,TOT,PC_PA,M,1996-09,15.841579999999999,
ISR,STINT,TOT,PC_PA,M,1996-10,15.732610000000001,
ISR,STINT,TOT,PC_PA,M,1996-11,15.5095,
ISR,STINT,TOT,PC_PA,M,1996-12,15.21636,
ISR,STINT,TOT,PC_PA,M,1997-01,14.53571,
ISR,STINT,TOT,PC_PA,M,1997-02,14.0435,
ISR,STINT,TOT,PC_PA,M,1997-03,14.04333,
ISR,STINT,TOT,PC_PA,M,1997-04,14.098889999999999,
ISR,STINT,TOT,PC_PA,M,1997-05,14.01105,
ISR,STINT,TOT,PC_PA,M,1997-06,13.431,
ISR,STINT,TOT,PC_PA,M,1997-07,12.90435,
ISR,STINT,TOT,PC_PA,M,1997-08,13.2855,
ISR,STINT,TOT,PC_PA,M,1997-09,13.736189999999999,
ISR,STINT,TOT,PC_PA,M,1997-10,13.64625,
ISR,STINT,TOT,PC_PA,M,1997-11,13.774289999999999,
ISR,STINT,TOT,PC_PA,M,1997-12,13.7285,
ISR,STINT,TOT,PC_PA,M,1998-01,13.37238,
ISR,STINT,TOT,PC_PA,M,1998-02,12.9855,
ISR,STINT,TOT,PC_PA,M,1998-03,12.654539999999999,
ISR,STINT,TOT,PC_PA,M,1998-04,12.39895,
ISR,STINT,TOT,PC_PA,M,1998-05,11.5365,
ISR,STINT,TOT,PC_PA,M,1998-06,11.28227,
ISR,STINT,TOT,PC_PA,M,1998-07,10.90364,
ISR,STINT,TOT,PC_PA,M,1998-08,9.824286,
ISR,STINT,TOT,PC_PA,M,1998-09,9.967647,
ISR,STINT,TOT,PC_PA,M,1998-10,11.34177,
ISR,STINT,TOT,PC_PA,M,1998-11,13.43454,
ISR,STINT,TOT,PC_PA,M,1998-12,13.59174,
ISR,STINT,TOT,PC_PA,M,1999-01,13.362379999999998,
ISR,STINT,TOT,PC_PA,M,1999-02,13.3485,
ISR,STINT,TOT,PC_PA,M,1999-03,12.81105,
ISR,STINT,TOT,PC_PA,M,1999-04,12.30875,
ISR,STINT,TOT,PC_PA,M,1999-05,12.020999999999999,
ISR,STINT,TOT,PC_PA,M,1999-06,11.96727,
ISR,STINT,TOT,PC_PA,M,1999-07,11.6605,
ISR,STINT,TOT,PC_PA,M,1999-08,11.29826,
ISR,STINT,TOT,PC_PA,M,1999-09,11.76474,
ISR,STINT,TOT,PC_PA,M,1999-10,11.68222,
ISR,STINT,TOT,PC_PA,M,1999-11,11.41455,
ISR,STINT,TOT,PC_PA,M,1999-12,10.80591,
ISR,STINT,TOT,PC_PA,M,2000-01,9.995789,
ISR,STINT,TOT,PC_PA,M,2000-02,9.708095,
ISR,STINT,TOT,PC_PA,M,2000-03,8.999524000000001,
ISR,STINT,TOT,PC_PA,M,2000-04,9.105882000000001,
ISR,STINT,TOT,PC_PA,M,2000-05,9.294286,
ISR,STINT,TOT,PC_PA,M,2000-06,9.145294,
ISR,STINT,TOT,PC_PA,M,2000-07,9.049091,
ISR,STINT,TOT,PC_PA,M,2000-08,9.098182000000001,
ISR,STINT,TOT,PC_PA,M,2000-09,8.937647,
ISR,STINT,TOT,PC_PA,M,2000-10,8.7105,
ISR,STINT,TOT,PC_PA,M,2000-11,8.423636,
ISR,STINT,TOT,PC_PA,M,2000-12,8.076189999999999,
ISR,STINT,TOT,PC_PA,M,2001-01,7.7239130000000005,
ISR,STINT,TOT,PC_PA,M,2001-02,7.23,
ISR,STINT,TOT,PC_PA,M,2001-03,7.115714,
ISR,STINT,TOT,PC_PA,M,2001-04,6.909474,
ISR,STINT,TOT,PC_PA,M,2001-05,6.770952,
ISR,STINT,TOT,PC_PA,M,2001-06,6.1965,
ISR,STINT,TOT,PC_PA,M,2001-07,6.214544999999999,
ISR,STINT,TOT,PC_PA,M,2001-08,6.366316,
ISR,STINT,TOT,PC_PA,M,2001-09,6.595,
ISR,STINT,TOT,PC_PA,M,2001-10,6.263158,
ISR,STINT,TOT,PC_PA,M,2001-11,5.921667,
ISR,STINT,TOT,PC_PA,M,2001-12,5.0709089999999994,
ISR,STINT,TOT,PC_PA,M,2002-01,4.036522,
ISR,STINT,TOT,PC_PA,M,2002-02,4.3752629999999995,
ISR,STINT,TOT,PC_PA,M,2002-03,4.87625,
ISR,STINT,TOT,PC_PA,M,2002-04,5.078333,
ISR,STINT,TOT,PC_PA,M,2002-05,5.511429,
ISR,STINT,TOT,PC_PA,M,2002-06,8.286667,
ISR,STINT,TOT,PC_PA,M,2002-07,9.129091,
ISR,STINT,TOT,PC_PA,M,2002-08,9.001111,
ISR,STINT,TOT,PC_PA,M,2002-09,9.066842,
ISR,STINT,TOT,PC_PA,M,2002-10,9.283913,
ISR,STINT,TOT,PC_PA,M,2002-11,9.004706,
ISR,STINT,TOT,PC_PA,M,2002-12,8.36087,
ISR,STINT,TOT,PC_PA,M,2003-01,8.172857,
ISR,STINT,TOT,PC_PA,M,2003-02,8.416,
ISR,STINT,TOT,PC_PA,M,2003-03,8.063889,
ISR,STINT,TOT,PC_PA,M,2003-04,7.484118,
